OID_,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,sector,FID_PUMAs,statefp10,pumace10,geoid10,aland10,awater10,state10,puma10,Shape_Length,Shape_Area
246,1905,80,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,7516.90464,2916039.688
247,1868,81,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,4098.08391,865.7450308
248,1868,81,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,19158.06478,14781858.12
249,1868,81,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,391.5875202,28.6820194
250,208347,1230,I,PAWTUCKET,RI,"PAWTUCKET,RI", ,0, ,,3,44,102,4400102,155586089,8120244,44,102,1691.29789,148932.8472
251,208347,1230,I,PAWTUCKET,RI,"PAWTUCKET,RI", ,0, ,,56,25,4200,2504200,374748428,14045486,25,4200,868.4464255,1.718757511
252,1860,82,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,12114.46801,3720943.346
253,1859,83,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,24899.25998,5411896.32
254,1869,84,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,23289.81457,7616983.773
255,1870,85,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,17540.35618,3187718.28
256,1870,85,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,385.1549767,411.526865
